연도,순위,팀 이름,승,패,승차,최근 경기 결과
2015,1,두산      ,79,65,0.0,7승-3패-0무
2015,2,삼성      ,88,56,-9.0,4승-6패-0무
2015,3,NC        ,84,57,-6.5,5승-4패-1무
2015,4,넥센      ,78,65,0.5,4승-6패-0무
2015,5,SK        ,69,73,9.0,6승-4패-0무
2015,6,한화      ,68,76,11.0,6승-4패-0무
2015,7,KIA       ,67,77,12.0,4승-6패-0무
2015,8,롯데      ,66,77,12.5,2승-8패-0무
2015,9,LG        ,64,78,14.0,6승-4패-0무
2015,10,kt        ,52,91,26.5,2승-7패-1무
2016,1,두산      ,93,50,0.0,6승-4패-0무
2016,2,NC        ,83,58,9.0,6승-4패-0무
2016,3,넥센      ,77,66,16.0,3승-7패-0무
2016,4,LG        ,71,71,21.5,4승-5패-1무
2016,5,KIA       ,70,73,23.0,5승-5패-0무
2016,6,SK        ,69,75,24.5,4승-6패-0무
2016,7,한화      ,66,75,26.0,6승-4패-0무
2016,8,롯데      ,66,78,27.5,5승-5패-0무
2016,9,삼성      ,65,78,28.0,5승-5패-0무
2016,10,kt        ,53,89,39.5,4승-6패-0무
2017,1,KIA       ,87,56,0.0,6승-4패-0무
2017,2,두산      ,84,57,2.0,8승-2패-0무
2017,3,롯데      ,80,62,6.5,8승-2패-0무
2017,4,NC        ,79,62,7.0,5승-4패-1무
2017,5,SK        ,75,68,12.0,7승-3패-0무
2017,6,LG        ,69,72,17.0,4승-6패-0무
2017,7,넥센      ,69,73,17.5,3승-7패-0무
2017,8,한화      ,61,81,25.5,3승-6패-1무
2017,9,삼성      ,55,84,30.0,4승-6패-0무
2017,10,kt        ,50,94,37.5,3승-7패-0무
2018,1,SK        ,78,65,0.0,3승-7패-0무
2018,2,두산      ,93,51,-14.5,6승-4패-0무
2018,3,한화      ,77,67,1.5,5승-5패-0무
2018,4,넥센      ,75,69,3.5,5승-5패-0무
2018,5,KIA       ,70,74,8.5,4승-6패-0무
2018,6,삼성      ,68,72,8.5,6승-3패-1무
2018,7,롯데      ,68,74,9.5,6승-4패-0무
2018,8,LG        ,68,75,10.0,4승-6패-0무
2018,9,KT        ,59,82,18.0,5승-5패-0무
2018,10,NC        ,58,85,20.0,2승-8패-0무
2019,1,두산      ,88,55,0.0,8승-1패-1무
2019,2,키움      ,86,57,2.0,6승-4패-0무
2019,3,SK        ,88,55,0.0,4승-6패-0무
2019,4,LG        ,79,64,9.0,4승-6패-0무
2019,5,NC        ,73,69,14.5,4승-5패-1무
2019,6,KT        ,71,71,16.5,7승-3패-0무
2019,7,KIA       ,62,80,25.5,5승-5패-0무
2019,8,삼성      ,60,83,28.0,4승-6패-0무
2019,9,한화      ,58,86,30.5,6승-4패-0무
2019,10,롯데      ,48,93,39.0,1승-9패-0무
2020,1,NC        ,83,55,0.0,4승-4패-2무
2020,2,두산      ,79,61,5.0,6승-4패-0무
2020,3,KT        ,81,62,4.5,7승-3패-0무
2020,4,LG        ,79,61,5.0,5승-4패-1무
2020,5,키움      ,80,63,5.5,6승-4패-0무
2020,6,KIA       ,73,71,13.0,4승-6패-0무
2020,7,롯데      ,71,72,14.5,3승-7패-0무
2020,8,삼성      ,64,75,19.5,6승-2패-2무
2020,9,SK        ,51,92,34.5,5승-5패-0무
2020,10,한화      ,46,95,38.5,3승-6패-1무
2021,1,KT        ,76,59,0.0,3승-6패-1무
2021,2,두산      ,71,65,5.5,5승-3패-2무
2021,3,삼성      ,76,59,0.0,6승-3패-1무
2021,4,LG        ,72,58,1.5,3승-2패-5무
2021,5,키움      ,70,67,7.0,6승-3패-1무
2021,6,SSG       ,66,64,7.5,4승-4패-2무
2021,7,NC        ,67,68,9.0,4승-5패-1무
2021,8,롯데      ,65,71,11.5,4승-4패-2무
2021,9,KIA       ,58,76,17.5,5승-5패-0무
2021,10,한화      ,49,83,25.5,2승-6패-2무
2022,1,SSG       ,88,52,0.0,4승-6패-0무
2022,2,키움      ,80,62,9.0,5승-5패-0무
2022,3,LG        ,87,55,2.0,4승-6패-0무
2022,4,KT        ,80,62,9.0,7승-3패-0무
2022,5,KIA       ,70,73,19.5,7승-3패-0무
2022,6,NC        ,67,74,21.5,6승-4패-0무
2022,7,삼성      ,66,76,23.0,6승-4패-0무
2022,8,롯데      ,64,76,24.0,5승-5패-0무
2022,9,두산      ,60,82,29.0,4승-6패-0무
2022,10,한화      ,46,96,43.0,3승-7패-0무
2023,1,LG        ,86,56,0.0,5승-5패-0무
2023,2,KT        ,79,62,6.5,6승-4패-0무
2023,3,SSG       ,76,65,9.5,8승-2패-0무
2023,4,NC        ,75,67,11.0,5승-5패-0무
2023,5,두산      ,74,68,12.0,4승-6패-0무
2023,6,KIA       ,73,69,13.0,7승-3패-0무
2023,7,롯데      ,68,76,19.0,4승-6패-0무
2023,8,삼성      ,61,82,25.5,4승-6패-0무
2023,9,한화      ,58,80,26.0,3승-7패-0무
2023,10,키움      ,58,83,27.5,5승-5패-0무
